s.no.,districts,year,ipc_crimes,pop_in_lak,ipc_cr,avg_temp,tot_rf
1,ariyalur,2011,1953,7.52,259.54,28.31235341972873,1103.207404418118
1,ariyalur,2012,2480,7.63,324.83,28.77731206427367,973.2079715599488
1,ariyalur,2013,1991,7.76,256.53,28.73031056345942,870.1580451405937
1,ariyalur,2014,1615,7.88,204.88,28.53604185676692,1090.802339357575
1,ariyalur,2015,1386,8.0,173.0,28.56591078828164,1501.644532378191
1,ariyalur,2016,1466,8.1,180.3,28.9971722563475,669.0552304985342
1,ariyalur,2017,2017,8.3,244.3,28.9971722563475,669.0552304985342
1,ariyalur,2018,1859,8.4,221.6,28.51198546855595,949.1109168992245
1,ariyalur,2019,1573,8.52,184.6,28.98975224944448,28.98975224944448
1,ariyalur,2020,7909,8.7,909.1,28.57366897291558,1236.201080190643
1,ariyalur,2021,4242,8.0,530.3,27.82567478680567,1599.395687194937
1,ariyalur,2022,1775,8.0,221.2,27.76486837959407,1245.229329427083
2,chennai,2011,21346,87.37,244.33,28.89712329,1774.4
2,chennai,2012,19881,88.64,224.29,29.44357923,1087.2
2,chennai,2013,17747,90.11,196.94,29.08447224,1154.5
2,chennai,2014,16861,91.52,184.24,29.32767123,1299.1
2,chennai,2015,13422,93.0,144.4,29.32870879,2100.25
2,chennai,2016,16870,94.4,178.7,29.54132514,1144.75
2,chennai,2017,19195,95.9,200.2,29.54493151,1568.05
2,chennai,2018,20160,97.4,207.1,29.36924658,910.85
2,chennai,2019,18108,98.88,183.1,29.77474791,1265.2
2,chennai,2020,88388,100.4,880.4,29.41160978,1489.15
2,chennai,2021,46077,72.3,637.3,29.37280979,2163.0
2,chennai,2022,15086,60.4,249.9,29.36012191,1538.2
3,coimbatore,2011,8620,34.72,248.3,26.79561644,975.7
3,coimbatore,2012,15450,35.23,438.5,24.04315068,1520.9
3,coimbatore,2013,22998,35.82,642.0,23.77260274,2532.55
3,coimbatore,2014,9277,36.379999999999995,255.0,23.95541096,2183.65
3,coimbatore,2015,8757,37.0,236.7,24.22360806,1824.45
3,coimbatore,2016,7791,37.6,196.8,24.48144622,1486.05
3,coimbatore,2017,7482,38.1,196.4,24.46287671,2119.5
3,coimbatore,2018,7063,38.7,182.5,23.76311992,1959.4
3,coimbatore,2019,6828,39.3,173.7,24.36675137,2284.5
3,coimbatore,2020,36753,39.9,921.1,24.26997088,2382.15
3,coimbatore,2021,13070,36.6,357.1,23.79932299,2726.95
3,coimbatore,2022,9394,36.8,255.2717391304348,23.67140317,2787.5
4,cuddalore,2011,9215,26.01,354.3,28.60013736,1847.0
4,cuddalore,2012,11318,26.39,428.9,29.50068493,1149.0
4,cuddalore,2013,8758,26.83,326.47,29.08,1011.9
4,cuddalore,2014,9442,27.25,346.56,28.79219178,1483.3
4,cuddalore,2015,8689,27.7,314.0,28.90618132,1938.2
4,cuddalore,2016,7101,28.1,252.7,29.09248634,694.0
