s.no.,districts,year,type,cyber_crimes,pop_in_lak,cyber_cr,avg_temp,tot_rf
1,ariyalur,2011,cyber crime,0,7.52,0.0,28.31235341972873,1103.207404418118
1,ariyalur,2012,cyber crimes,0,7.63,0.0,28.77731206427367,973.2079715599488
1,ariyalur,2013,cyber crime,0,7.76,0.0,28.73031056345942,870.1580451405937
1,ariyalur,2014,cyber crime,0,7.88,0.0,28.53604185676692,1090.802339357575
1,ariyalur,2015,cyber crime,0,8.0,0.0,28.56591078828164,1501.644532378191
1,ariyalur,2016,cyber crime,0,8.1,0.0,28.9971722563475,669.0552304985342
1,ariyalur,2017,cyber crime,0,8.3,0.0,28.9971722563475,669.0552304985342
1,ariyalur,2018,cyber crime,0,8.4,0.0,28.51198546855595,949.1109168992245
1,ariyalur,2019,cyber crime,0,8.52,0.0,28.98975224944448,28.98975224944448
1,ariyalur,2020,cyber crime,10,8.7,1.1,28.57366897291558,1236.201080190643
1,ariyalur,2021,cyber crime,17,8.0,2.1,27.82567478680567,1599.395687194937
1,ariyalur,2022,cyber crime,11,8.0,1.4,27.76486837959407,1245.229329427083
2,chennai,2011,cyber crime,17,87.37,0.2,28.89712329,1774.4
2,chennai,2012,cyber crimes,15,88.64,0.2,29.44357923,1087.2
2,chennai,2013,cyber crime,13,90.11,0.1,29.08447224,1154.5
2,chennai,2014,cyber crime,34,91.52,0.4,29.32767123,1299.1
2,chennai,2015,cyber crime,29,93.0,0.3,29.32870879,2100.25
2,chennai,2016,cyber crime,26,94.4,0.3,29.54132514,1144.75
2,chennai,2017,cyber crime,51,95.9,0.5,29.54493151,1568.05
2,chennai,2018,cyber crime,72,97.4,0.7,29.36924658,910.85
2,chennai,2019,cyber crime,114,98.88,1.2,29.77474791,1265.2
2,chennai,2020,cyber crime,178,100.4,1.8,29.41160978,1489.15
2,chennai,2021,cyber crime,76,72.3,1.1,29.37280979,2163.0
2,chennai,2022,cyber crime,271,60.4,4.5,29.36012191,1538.2
3,coimbatore,2011,cyber crime,17,34.72,0.8,26.79561644,975.7
3,coimbatore,2012,cyber crimes,4,35.23,0.2,24.04315068,1520.9
3,coimbatore,2013,cyber crime,6,35.82,0.2,23.77260274,2532.55
3,coimbatore,2014,cyber crime,25,36.379999999999995,1.5,23.95541096,2183.65
3,coimbatore,2015,cyber crime,23,37.0,0.6,24.22360806,1824.45
3,coimbatore,2016,cyber crime,18,37.6,0.5,24.48144622,1486.05
3,coimbatore,2017,cyber crime,18,38.1,0.5,24.46287671,2119.5
3,coimbatore,2018,cyber crime,18,38.7,0.5,23.76311992,1959.4
3,coimbatore,2019,cyber crime,9,39.3,0.2,24.36675137,2284.5
3,coimbatore,2020,cyber crime,15,39.9,0.4,24.26997088,2382.15
3,coimbatore,2021,cyber crime,69,36.6,1.9,23.79932299,2726.95
3,coimbatore,2022,cyber crime,116,36.8,3.2,23.67140317,2787.5
4,cuddalore,2011,cyber crime,0,26.01,0.0,28.60013736,1847.0
4,cuddalore,2012,cyber crimes,0,26.39,0.0,29.50068493,1149.0
4,cuddalore,2013,cyber crime,0,26.83,0.0,29.08,1011.9
4,cuddalore,2014,cyber crime,0,27.25,0.0,28.79219178,1483.3
4,cuddalore,2015,cyber crime,0,27.7,0.0,28.90618132,1938.2
4,cuddalore,2016,cyber crime,4,28.1,0.1,29.09248634,694.0
4,cuddalore,2017,cyber crime,1,28.5,0.0,28.91054795,1590.2
4,cuddalore,2018,cyber crime,3,29.0,0.1,28.75109589,1114.4
4,cuddalore,2019,cyber crime,0,29.44,0.0,29.04574176,1630.4
4,cuddalore,2020,cyber crime,0,29.9,0.0,28.79614325,1740.5
4,cuddalore,2021,cyber crime,48,27.6,1.7,28.47611379,2160.5
4,cuddalore,2022,cyber crime,53,27.7,1.9,28.85664384,1467.75
5,dharmapuri,2011,cyber crime,0,15.03,0.0,26.80780822,760.0
5,dharmapuri,2012,cyber crimes,0,15.25,0.0,27.38970098490413,1012.978612791281
5,dharmapuri,2013,cyber crime,1,15.5,0.1,27.29614841627479,955.7211426365318
5,dharmapuri,2014,cyber crime,10,15.74,0.6,27.16807842964444,989.095169481098
5,dharmapuri,2015,cyber crime,0,16.0,0.0,27.49245391279887,1310.946627562633
5,dharmapuri,2016,cyber crime,0,16.2,0.0,28.18660116271729,686.9127585833406
5,dharmapuri,2017,cyber crime,3,16.5,0.2,27.94198600996181,1193.933715690519
5,dharmapuri,2018,cyber crime,6,16.8,0.4,27.33753425,432.0
5,dharmapuri,2019,cyber crime,5,17.01,0.3,27.63774105,1161.7
5,dharmapuri,2020,cyber crime,7,17.3,0.4,27.02671233,950.0
5,dharmapuri,2021,cyber crime,27,16.0,1.7,26.96799451,950.1
5,dharmapuri,2022,cyber crime,44,16.0,2.8,26.66972603,929.9
6,dindigul,2011,cyber crime,0,21.61,0.0,14.75219178,1551.4
6,dindigul,2012,cyber crimes,0,21.93,0.0,14.98497268,1347.3
6,dindigul,2013,cyber crime,0,22.29,0.0,14.90136986,1167.6
6,dindigul,2014,cyber crime,0,22.64,0.0,14.96780822,1775.9
6,dindigul,2015,cyber crime,0,23.0,0.0,14.91383562,1767.8
6,dindigul,2016,cyber crime,0,23.4,0.0,15.23101093,849.3
6,dindigul,2017,cyber crime,3,23.7,0.1,14.92767123,1730.5
6,dindigul,2018,cyber crime,0,24.1,0.0,14.60986301,1479.2
6,dindigul,2019,cyber crime,2,24.46,0.1,15.14986301,1869.7
6,dindigul,2020,cyber crime,12,24.8,0.5,14.9942623,1292.7
6,dindigul,2021,cyber crime,39,22.9,1.7,14.28424658,2192.0
6,dindigul,2022,cyber crime,68,23.0,3.0,14.33753425,2327.3
7,erode,2011,cyber crime,0,22.6,0.0,25.21762547422928,1063.031723541426
7,erode,2012,cyber crimes,0,22.93,0.0,24.43747006702481,1137.043371417436
7,erode,2013,cyber crime,0,23.31,0.0,23.6616799536306,1432.168971819618
7,erode,2014,cyber crime,0,23.67,0.0,23.70212821208104,1463.655504435115
7,erode,2015,cyber crime,0,24.0,0.0,23.8119552249183,1651.349914612197
7,erode,2016,cyber crime,0,24.4,0.0,24.33651778999769,960.6184567708465
7,erode,2017,cyber crime,0,24.8,0.0,24.13441791062289,1617.341213571015
7,erode,2018,cyber crime,0,25.2,0.0,24.03189483545848,1337.076869756553
7,erode,2019,cyber crime,0,25.57,0.0,24.5843503026565,24.5843503026565
7,erode,2020,cyber crime,0,26.0,0.0,24.21916388121858,1456.286300355171
7,erode,2021,cyber crime,17,23.9,0.7,28.86997041,885.6
7,erode,2022,cyber crime,29,23.9,1.2,28.17417127,1068.4
8,kancheepuram,2011,cyber crime,0,23.45,0.0,28.46988952000281,1493.949852516182
8,kancheepuram,2012,cyber crimes,0,23.79,0.0,28.87897657488696,1039.290452526969
8,kancheepuram,2013,cyber crime,0,24.19,0.0,28.74555529281113,1042.230211676333
8,kancheepuram,2014,cyber crime,0,24.56,0.0,28.79956442639462,1225.720250861407
8,kancheepuram,2015,cyber crime,4,25.0,0.2,28.79089097505249,1869.542690728892
8,kancheepuram,2016,cyber crime,0,25.3,0.0,29.12318253001519,951.8849894781928
8,kancheepuram,2017,cyber crime,0,25.7,0.0,29.01920856285292,1458.019365241918
8,kancheepuram,2018,cyber crime,0,26.1,0.0,28.71887376944388,954.7627761950822
8,kancheepuram,2019,cyber crime,0,26.54,0.0,29.18636408844151,29.18636408844151
8,kancheepuram,2020,cyber crime,0,45.5,0.0,28.78456919421619,1421.030428319709
8,kancheepuram,2021,cyber crime,24,33.8,0.7,28.33458152391884,1880.289180044534
8,kancheepuram,2022,cyber crime,72,41.900000000000006,1.7,28.32642468757905,1435.377522870269
9,kanniyakumari,2011,cyber crime,0,18.63,0.0,28.0978022,824.0
9,kanniyakumari,2012,cyber crimes,0,18.9,0.0,28.31830601,576.0
9,kanniyakumari,2013,cyber crime,1,19.22,0.1,27.84849315,753.6
9,kanniyakumari,2014,cyber crime,4,19.52,0.2,28.04808219,1086.1
9,kanniyakumari,2015,cyber crime,11,19.8,0.6,27.83876712,1163.5
9,kanniyakumari,2016,cyber crime,3,20.1,0.1,28.45300546,373.6
9,kanniyakumari,2017,cyber crime,8,20.4,0.4,28.20673077,731.5
9,kanniyakumari,2018,cyber crime,9,20.8,0.4,27.85273973,902.0
9,kanniyakumari,2019,cyber crime,33,21.09,1.6,28.49178082,1115.4
9,kanniyakumari,2020,cyber crime,72,21.4,3.4,28.61939891,611.8
9,kanniyakumari,2021,cyber crime,19,19.8,1.0,28.12955801,1364.7
9,kanniyakumari,2022,cyber crime,5,19.9,0.3,28.27203857,461.0
10,karur,2011,cyber crime,0,10.77,0.0,29.00424658,754.8
10,karur,2012,cyber crimes,0,10.92,0.0,29.30327869,424.4
10,karur,2013,cyber crime,0,11.1,0.0,26.60613587811783,964.150036907236
10,karur,2014,cyber crime,0,11.28,0.0,26.40951558844022,1102.884181026237
10,karur,2015,cyber crime,1,11.5,0.1,26.46541877130226,1330.568836977014
10,karur,2016,cyber crime,0,11.6,0.0,27.01073665068009,722.6385910653729
10,karur,2017,cyber crime,1,11.8,0.1,26.83913485022857,1142.566993582443
